timestamp,x,y,z
1528884267974758,-0.4375,-18.6875,7.625
1528884267997601,-2.0625,-17.4375,8.0625
1528884268012510,-4.5,-16.875,6.75
1528884268034702,-6.1875,-16.5625,4.3125
1528884268056695,-4.125,-15.25,3.4375
1528884268072602,-2.125,-14.25,2
1528884268094541,-0.0625,-13.375,1.375
1528884268109500,-0.5625,-12.4375,1.375
1528884268131442,-2.25,-11.8125,0.5625
1528884268154436,-2.5625,-11,0.625
1528884268171336,-1.5,-9.1875,1.9375
1528884268192288,-1.6875,-7.5625,2.375
1528884268216270,0.5,-5.6875,2.25
1528884268231228,4.4375,-4.0625,1.75
1528884268252121,7.1875,-2.5,1.6875
1528884268274061,7.6875,-1.3125,1.3125
1528884268291017,7.75,-0.125,0.3125
1528884268312014,5.75,1.125,-0.25
1528884268334901,4.0625,2.3125,-0.8125
1528884268350856,2.3125,3.25,-0.5
1528884268371854,1.6875,3.75,-0.1875
1528884268394785,3.25,3.125,0.625
1528884268410699,2.1875,1,4.125
1528884268432358,1.375,-1.875,9.4375
1528884268454357,-0.375,-3.1875,14.625
1528884268471526,-3.6875,-4.625,16.1875
1528884268493266,-5.25,-5.0625,12.5
1528884268514639,-3.1875,-4.9375,8.4375
1528884268531625,1,-5.625,5.5625
1528884268552086,3.5625,-6.8125,2.3125
1528884268575102,3.3125,-7.5,-0.0625
1528884268591431,2.375,-5.9375,-0.75
1528884268612379,0.1875,-4.3125,-1.5
1528884268634635,0.9375,-3.3125,-2.4375
1528884268650551,5.5625,-2.8125,-3.625
1528884268671496,6.75,-3.125,-4.75
1528884268694435,2.5,-1.4375,-3.125
1528884268710889,4.75,-0.125,-1.25
1528884268731834,7.5,1.1875,-0.5
1528884268755118,3.625,2,-1.0625
1528884268770556,0.6875,2,-1.75
1528884268792271,3.1875,2.5,0.8125
1528884268814512,10.5625,2.3125,2.5
1528884268830891,13.875,1.625,3.1875
1528884268851690,7.25,0.75,4.25
1528884268873951,-2.625,-2.875,4.125
1528884268890125,-11.8125,-7.8125,3.9375
1528884268912411,-19.3125,-9.3125,5.25
1528884268934270,-13.375,-10.75,3.9375
1528884268950217,-3.625,-10.3125,3.0625
1528884268973600,6.75,-6.625,2.3125
1528884268994825,12.9375,-6.1875,0.875
1528884269010696,12.5625,-6.75,-0.0625
1528884269033389,1.625,-6.5625,-1.0625
1528884269053890,-9.6875,-6.3125,-1.75
1528884269069898,-9.0625,-5.6875,-2.125
1528884269094399,-1.9375,-4.625,-3.4375
1528884269114803,0.625,-2.875,-3.8125
1528884269130115,2.5,-2.1875,-3.9375
1528884269153243,4.8125,0.1875,-2.9375
1528884269175010,3.5625,2.1875,-2.625
1528884269190004,-1.1875,2.3125,-5.0625
1528884269213388,-6.6875,3.625,-6.25
1528884269234675,-1,4.875,-6.0625
1528884269250594,10.8125,5.0625,-4.75
1528884269273033,12.4375,4.6875,-3.625
1528884269294466,4.8125,4.6875,-1.5625
1528884269310726,2.5625,5.375,-0.6875
1528884269333257,4,5.1875,0.75
1528884269354642,4.0625,3,3.125
1528884269370331,-0.5,-1.4375,5.9375
1528884269393818,-9.1875,-6.9375,6.8125
1528884269415132,-18.8125,-11.8125,4.375
1528884269430776,-21.5,-10.25,4.5
1528884269453695,-6.5,-5.875,5.1875
1528884269474598,10.25,-7.5625,4.0625
1528884269490556,15.75,-9.25,3.9375
1528884269513495,6.3125,-8.125,3.3125
1528884269534439,-7.4375,-7.75,2.5625
1528884269550397,-7.6875,-6.25,3.125
1528884269573335,-2.1875,-5.9375,3.875
1528884269611045,1.6875,-5.6875,4
1528884269613775,2.4375,-5.625,4
1528884269633342,1.375,-4.6875,5.1875
1528884269654529,-1.25,-3.75,5.9375
1528884269670517,-3.3125,-3.1875,5.875
1528884269692860,-2.6875,-2.9375,5.4375
1528884269714453,-0.3125,-2.4375,4.5
1528884269730617,1.3125,-1.75,4.0625
1528884269752554,0.875,-1.1875,3.375
1528884269774757,1.25,-0.1875,2.3125
1528884269789976,1.625,1.25,0.875
1528884269812642,3.5,2.3125,-2.5
1528884269834784,7.125,4.9375,-7.3125
1528884269850093,10.9375,6.875,-12.875
1528884269872675,10.125,10.3125,-16.1875
1528884269896193,9.6875,14.1875,-18.5625
1528884269910155,8.9375,17.5625,-20.9375
1528884269933480,8.375,19.625,-20.75
1528884269956520,6.875,21.25,-18.9375
1528884269970292,5.8125,21.5625,-16.0625
1528884269992561,7.25,20.0625,-10.1875
1528884270016614,10.375,17.3125,-2.5625
1528884270030115,11.6875,14.625,5.8125
1528884270053389,12.0625,12.0625,14.375
1528884270076724,10.5,8.375,22.125
1528884270097371,11.0625,2.6875,30.8125
1528884270113382,11.8125,-1.5,42
1528884270136120,7.5625,-4.4375,55.0625
1528884270156867,6.375,-8.5625,66.75
1528884270181570,9.875,-15,77.3125
1528884270196627,11.3125,-22.8125,86
1528884270216929,10.75,-29.6875,92
1528884270232624,11.8125,-37.25,98
1528884270256595,14.375,-41.125,105.188
1528884270277550,15.0625,-43.625,114.313
1528884270292532,12.3125,-46.1875,123
1528884270315845,11.25,-49.5,129.438
1528884270337473,9.4375,-53.4375,132.813
1528884270353328,10.5625,-58.125,133.313
1528884270375703,8.6875,-61.875,134.875
1528884270396893,9,-63.8125,135.688
1528884270412612,4.5625,-65.5625,136.188
1528884270436065,-10.3125,-64.8125,131.625
1528884270457010,-22.1875,-64.1875,127.75
1528884270473223,-29.5,-64.375,123.563
1528884270495906,-36.6875,-63.375,118.625
1528884270516851,-40.125,-62.1875,116.125
1528884270533388,-45.625,-58.875,111.25
1528884270556317,-47,-52.0625,105.875
1528884270577258,-44.875,-48.6875,97.9375
1528884270593213,-40.125,-45.9375,89.875
1528884270615205,-35.5625,-39.75,80.4375
1528884270637410,-25.375,-32.5625,69.3125
1528884270653274,-15.6875,-26.5,59.5625
1528884270675911,-3.625,-22,49
1528884270696746,6.0625,-17.875,40
1528884270712651,5.875,-12.9375,30.5
1528884270735589,4.5,-8.6875,23.125
1528884270757010,2.0625,-5.3125,16
1528884270773057,0.25,-1.9375,10.5625
1528884270795030,-0.125,1.0625,7.375
1528884270818456,1.8125,2.6875,4.9375
1528884270832569,1.6875,3.4375,3.5
1528884270855410,0.4375,3,2.4375
1528884270879048,-1.25,3.625,1.6875
1528884270892620,-1.1875,3.3125,1.5
1528884270915556,0.3125,3.3125,1.5
1528884270938500,2.0625,2.9375,1.4375
1528884270952473,2.8125,2.6875,1.125
1528884270975837,1.5,2.375,0.4375
1528884270998977,1.6875,2.0625,0.1875
1528884271012707,1.9375,1.3125,-0.5
1528884271035095,1.25,0.875,-2.125
1528884271058036,1.3125,-0.25,-3.6875
1528884271072012,0.625,-0.875,-4.625
1528884271086220,-0.0625,-1,-4.5625
1528884271109149,0.3125,-0.25,-3.875
1528884271131836,2.75,0.75,-3.875
1528884271146106,5.9375,1.0625,-3.375
1528884271169445,8.0625,0.875,-2.8125
1528884271192526,7.3125,0.4375,-2.0625
1528884271206491,5.5625,0.4375,-1
